ItemID,Sentiment,SentimentText
70377,Positive,@Andrewgoldstein you guys were amazing!! look forward to seeing you again. congrats on the new record. 
57126,Negative,@bassemali sigh!!! i was busy all weeked  OR do you mean you're here till NEXT monday?
78989,Positive,@calperry ...and the loser not only donates to charity but sings in public. this could get interesting very fast. 
5581,Negative,#asksteve Did you consider lost business when removing Krisflyer Gold from the Clubhouse welcome list? My business is going to United now 
5326,Positive,#followfriday @Al_AzZ  
34871,Positive,@alpcoterie Get out! Booted and just didn't renew?! Name your source!  
41884,Positive,@AndrewBlanda i might get myself one one of these days. Other things are hogging my $ at the moment 
34617,Positive,@AlmaLaCubana Ahh you will be fine sweetie  Lol
90463,Negative,@backstreetboys   why!!!! u have to bring it to you 24/7 like the @backstreet_team
27197,Positive,@afonin Ñ?Ð¿Ð¾ÐºÐ¸ 
95815,Negative,"@ckfio awe...    I have one, I just didn't think this job was going to be as big as it has turned out to be, but I have learned my lesson!"
41305,Positive,@androidtomato i didnt ask so that you would post it. just that you were quiet i thought you were snoring away next to @hammer32 
24975,Positive,"@3rdworldape haha, yes its a good thing  hopefully got like ninety. hows the photos going? what you up to?"
64551,Positive,@Bozon_IGN it's on sky sports 1 for free now 
72179,Negative,@BridgetteBanxxx awww your leavinqq ima miss yuu 
40194,Positive,"@AmandaValeriano Sure, make me one when you have time! "
90622,Positive,@ChinoDolla good choice with the default pic chino hahahahhaa you know its my favorite pic of you!!!!!!!! you big ol baby 
25271,Positive,@adamconnor 2x4's and duct tape?  
42295,Negative,@andyclemmensen my friend is near you at the shops but is to scared to go up to you like WTF shes such a dikheaddddd. 
14890,Positive,(@wow_its_parris) ahaha let me high five your ass please  Going to Bed.
70342,Negative,@BreeanaBustos yumm i love pie!! and you! i really want a cam phone but my upgrades in 10 months... and the phone i want is 400 w/out one 
64506,Negative,@Boydian So you don't have swine flu?  Why did you have to watch it 27 times? What was it about?
4618,Positive,"#bing In maps, use Birds Eye view for closeup. But the images are about 2 years old. I can still see Stephanie in my back yard "
8492,Positive,&amp; la crooks familia.. @therulingelite follow them they're down ass nigguhs  free @aj_crooks hope you get my artwork soon haha !
87687,Negative,@chasecoy hey I'm a song writer to. Any ideas for me I hav block 
54560,Negative,@axegoddess D: *gives you lots of water* that sucks 
10049,Negative,&quot;i would have died! i would have died rather than betray my friends&quot; oh sirius black i love you. 
48448,Positive,"@ArtisticAmelie Amen, sister-what a blessing!! "
53286,Positive,"@B0RR15 hahaha, sorry i found that funny "
23045,Positive,@_supernatural_  Wow I'll love hot guy spam 
97292,Positive,"@ctangle good facebook photo tagging skills dude.  I forgot about those, I do look a bit dafft dont I?  ah, puntastic "
71794,Negative,"@cakey oh that's good, not bad thanks altho not wanting to go to work "
37174,Negative,@aligauthier  now i have no friends here haha
86380,Negative,"@AussieMcflyFan at least we know that they do reply to ppl, just not us "
23085,Positive,@_tomash: we are really proud of polish talk representation at #euruko 
37617,Negative,@allahpundit you don't call me baby anymore. 
35211,Positive,@alyankovic How many times have they asked you to say that?  I hope that you are enjoying Botcon.
28034,Positive,"@aiki14 Thank you so much, and i'll look into these resources "
1747,Positive, eating food! hahaha
54995,Positive,"@Banksyart2 Mr banks. You are a very bad man. I need to talk to you later, i'll dm when i get home "
15773,Negative,": okay, so Marley &amp; Me was so good it makes me not want to get a dog. "
75460,Negative,@bubsxgreen I wish I had it. 
65866,Negative,@BlazingLily  it is EXTREMELY sad.  i'm jealous!!!
63839,Positive,@bojanpejic starting up w/ something new? 
46056,Negative,@allan1850 I have a thing with my benes where it comes out of my pre tax earnings. But I left that card at home 
35878,Positive,"@alexa_and_you yahhh we can follow each other, thanks for following me, have an awesome evening Alexa "
76935,Positive,@cassamy yup! You've lost your mind! 5:45!? Crazier than me. I'm on my way to the gym now  go us!
13875,Negative,.... I'm hungry but I'm scared to eat cause I'm bloated 
67853,Positive,"@Brownoxford Yeah, that's a pain. I am just saying it will get better when you go live.  #magento #caching"
28717,Positive,@absolutraia my best wishes for you li! 
45236,Positive,@aliciakeysmedia hiiii 
69185,Positive,"@AnarborSlade ...and i'm in love. haha, that's so awesome "
18994,Positive,":however, I am willing to learn it again by visiting the places and the ppl.  http://plurk.com/p/touth"
57893,Negative,@beej55 well they're calling for T-storms around 5 in the 970 
71407,Positive,@brianfriedman happy birthday  !
28095,Negative,"@abigaill bummer  lol well i like mostly listen to alternative,rock,techno,house,ect not that much rap but he is one of the few i like"
92892,Negative,@Complexity_ yes  LOL just cause it's so early LOL what time?
37790,Positive,@AmandaStratton  I always go for the funny guy too 
79124,Negative,@camanda @manthigh81 ME TOOOOO 
88411,Negative,@chefali How do I find out how to donate my magazines? We have way too many. I was going to give them to the rest home but they closed 
40034,Positive,@amandakern I MAY get desperate enough to drive to Altamonte. But not yet. 
84889,Positive,@cbedon thanks alot. Hope you can help spread the word and get people involved. We are already making a real difference 
22247,Positive,"@_metallicar Nearly done. Y'know, if I weren't so soapy I'd definitely be sweaty. Hard work this, but so worth it "
69984,Negative,"@BrandyandIce I might stalk you this afternoon, I'm a bit bored "
30248,Positive,@Adamq90 lol tell me if u goin there...so i can bust ya ass online  lol
10046,Negative,"&quot;I wanna set you up with one of my friends, but I cant see you dating anyone but yourself&quot; I guess I come off all that vain. "
38428,Negative,@Amie_Xox i miss you.  X
28565,Positive,@AirJunkie NO... did we? OH WE DID! I just checked and they will be back in either tomorrow or Wed... crossing my fingers for tomorrow 
27320,Positive,@agary2 it's trashy and sensationalist...so yes 
64876,Positive,@BrandiHeyy: Hey Brandi... Just Wonderin .. What are you + Miley doing in Germany  .. Please Reply.. Love Natalie + April .. xoxo
85855,Negative,"@ChrisJakob okey, just.. AHH, U r an idiot "
48132,Positive,"@arnteriksen morning, by the way "
75801,Negative,"@anthonyladao hey,whats up me n my fren r havin fun tryin 2 talk 2 u thomas n eric. we called eric but he didnt answer  2 bad ps WB plz "
19274,Negative,@_laertesgirl It's not as good as Mr C tho 
61939,Negative,@binmugahid hard to tell which.. It imitates dimensional aspect but has no similarity at all when it comes to UI.. all in chinese too.. 
84629,Negative,"@Chris_Howe Yep, but I don't want to think about it right now. I don't drink but I need some alcohol and some sleep to numb the pain. "
31799,Negative,"@Aecen i really do need to, im so tired nowww "
97503,Negative,@cuiying still thinking! still traumatize over the death of my camera.  
6303,Negative, sprained ankle pretty badly ughhh.
41186,Negative,"@andrewkfromaz Unfortunately, my job supplies me with neither.  #fail"
74624,Negative,@Bruyk I know that hella sucks. It ruined my year! I want to see @Jeffreecuntstar so badly! 
17818,Negative,@_CatherineElyse i know  why?
20193,Positive,@ raeredeyes We all have our moments lovely! Still luv ya though!!! 
66330,Positive,@brigebee http://twitpic.com/68ae8 - OMGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG...that's my babyy 
54559,Negative,"@axalis its kind of cloudy and rainy  but it should stop soon, then we're gonna go pairasailing (when ur in the air)"
57523,Positive,"@amruth92 lol worst thing is, we're verbally talking too "
21034,Negative,@_peachykeen it must be!  lol xx
55660,Positive,@bazutti I'll be in Atlantic City and Philly that week and weekend 
53868,Positive,@AugustRhapsody so the location of the job is right in your own home 
65405,Negative,@BrendaLilly Took the Brenda quiz;scored a 50% 
41995,Negative,@andrewsam but how come my facebook chat window wont open in opera? 
80412,Positive,@Arthrob So tell me about it 
80834,Positive,@charlielok anks for following!! 
7008,Positive,#productivity drops with the help of wireless_sg and starbucks 
90344,Positive,"@chidesigns it already has improved thx chi b.  new blinds this morning, footy this arv and dinner with you tonight! u want 2 share a cab?"
26558,Positive,"@9swords BTW, thanks for the mention "
12843,Negative,*sighs* brandy not followin' me. 
43304,Negative,@Anime81 awww...  That was a quick trip. Poop.
44812,Negative,"@AnotherJulia getting all my tweets mixed up today?!  sorry, I hope u r well Julia and smiling the lovely smile as usual"
69028,Positive,@boytoyjesse Savannah is so cute! I wanna see more video blog's 
11437,Positive,#squarespace hello squarespace! my monday is being a drag right now...how is your monday? 
46064,Positive,@apexjason @mauricebroaddus It's not that I don't still love MEN...I 'm just not sharing my toys. 
37430,Negative,@amandabynes tomorrow is the last day of spring break for me  im a huge fan from Ireland by they way . your an awesome actress + singer!
30329,Negative,"@AddoraLive and you were still busy setting up, so didn't say hi, then didn't get back "
50654,Negative,@asokks00 I def want to discuss what you saw tonight...I keep on missing your calls/texts due to lack of reception at my aunt's house!!! 
11906,Negative,#wordcamp follow me im friend less  lol
80565,Negative,@Artistbabee that's annoying. i is sorry 
57349,Positive,@Becks_Beer then go! 
18792,Positive,"@__dashboard oops, sorry I didn't reply to you. hahaha. and yeah, I bought black shoes na  they're kinda loose though haha. you bought na?"
26776,Negative,@aalaap exactly leave the transport out! I am tlaking about going there.. the evening shit! And a place to find out where i can crash 
66144,Negative,@blkruby hey girlie! we missed u today  u coulda finally met &quot;dookie&quot; lol
831,Positive," Congrats to AL's newest state Senator elect, Democrat Mark Keahey. http://is.gd/MRr3 #alpolitics"
17520,Negative,@_amazinq_  i was just kidding ;D here you are ^^ *bring the muffin* haha
97774,Negative,@collageartist Sorry for Carmi's loss. I'm sure Shamus will be greatly missed 
77289,Positive,"@catdog03: apologies for the belated reply on the sequins. now, have you the feathered or bouffant 'do? yes? you're set! send pics! "
8682,Negative,"&lt;-- hungry... Craving chicken noodle soup, or any soup in general. I think it has a lot to do with the dreary weather here in WA. "
43842,Positive,@Annalee65 I'm ready to help you get the pool ready 
97853,Negative,@colomolz why you no follow me??  i got no one!
14515,Negative,&quot;You do seem like a very interesting and attractive geeky redhead&quot; .... I don't even have red hair  ... muppet
85976,Negative,"@chrisloveschels i bet you miss her, haha. i feel like she has gotten so big so fast. i need a little chelsea too! "
34155,Positive,@AJM1030 good old friday night piss up 
24854,Negative,@30SECONDSTOMARS OMG i want to see you the 20/21 at Paris but its so far of my home 
38186,Negative,@AmbroseChick That would be awesome if you could make it to Sonoma AC. I'd love to take Monday off to watch it but unfortunatley I can't 
56131,Negative,@BahamaMama_1 i slept till 10 as well  i never do that!
65573,Negative,@brennasanchez Yeah we did that too. It looked like sprinkles on a cupcake 
50731,Positive,@ambernightshade baha.  im loving the hilarious tweets everyone is sending about the site!
76229,Positive,"@antoniagentile Oh, and you know I said it wasn't there real house? Here are the pictures of the real house  http://tinyurl.com/mmk3k5 WOO"
99883,Negative,@crystalthediva LOL yea I no babe that's crazy ! Don't stress tho that's not good 4 u  just make sure to follow me babe &amp; Il def follow u
37507,Negative,@amandagirrrl omg I'm jealous  not about the babysitter part though lol
49532,Negative,@AshleyRose319 realllllyyyyyy??? i already got set up for random drug test  but we'll see how it goes
11944,Positive,(But it's a fun art project  )
80839,Positive,@CharlieMoos Wow!! Congratulations!!! 
68105,Positive,@brumplum I already had three open..  and I will not lower myself to taking my shirt off in the middle of covent garden.only trash do that
62943,Negative,@billyfung Kate is a crazy biatchh and Jon is a dead beat dad. Those kids will be so messed up  I will adopt them. Or maybe Angelina will.
88805,Positive,@chemacool good nite chema 
28378,Negative,"@abcaryndef  Oh, that's not good. Have some water."
16283,Positive,: excited for the new moon trailer 
61072,Positive,@bevashwell  It doesn't get better. So funny!!! Couldn't have happened to a nicer bloke. 
26320,Positive,@8_Track Kk!! were about to watch this lame a movie so Ima get up with you tomorrow love!  PEACE BITCH
13178,Negative,". @maelkann Actually, you're probably right. "
48753,Positive,@asexiness Just don't get arrested for swimming in the nude! I only do it when I'm alone with my girlfriend @GoldyMom at the beach. 
19694,Negative,@_Fabby it looks like it was more of the bodyguards fault/lack of security   #RespectRobPattinson
24243,Negative,@21theproducer I dig that! Too long to retweet though! 
88949,Positive,@citysage aw! the kitties! how are the little darlings? i demand more photos. DEMAND! ... pleeeaasseee? 
7313,Negative,"#TRMS     all u people that she's talking 2 go time out, see a doctor get some help...dumb asshats grow a brain...that's all u getfrme"
88363,Negative,@AyyoItsAmandaJo hey girlie!!!! long time no chat! 
14779,Negative,"...wow, I am EXHAUSTED suddenly. "
90896,Positive,@chisaikame No noise means that I go to sleep earlier. 
44989,Negative,@Anniephotos aww what happened? 
70302,Positive,@AndrewDearling Do u just love Twitter. My timeline is always littered with ur crap 
66061,Negative,@briannabby   whereeeeeee are you !? i wanna talk 
78901,Negative,@calliean nom no.   reiki?
71967,Negative,"@bridget_m_ mm im hungry, we have no food "
57980,Positive,@beanandgone @doorofkukondo and don't forget your coffee lackey. 
86343,Positive,"@chainedrebel hat nu ma stiu la zoologia cireselor, da' cu gustu' ai dreptate! Is acrisoare. "
66498,Negative,"@brinneydee I hear ya babe, I totally hear ya "
57380,Positive,@amoir You look wonderful not matter what you attire is! 
72640,Negative,@CameronLeyden It's my second cousins 21st =P not my party 
61215,Positive,@BFGarzilla9k hey dude all of as i laydying as blood runs black and parkwaydrive sound good within an hour? love me. 
68908,Negative,"@boxercab ya   I've had it for a week already, and it could go away any time now!!!"
35951,Positive,@AlexAllTimeLow &amp; that is why you boys are amazing. 
7150,Negative,#ihatewhen he gets too drunk and I can't get any at the end of the night 
24864,Positive,"@30SECONDSTOMARS There, on my family's place, thinking about the Summit, I can't wait to stay and colaborate on the new album! "
98885,Negative,@courtneythe1st  I hates it.
5773,Negative, No farmer's mks! Rt @TOfoodie: Itâs official. The City says all city operated markets are closed for the duration of the strike.
54551,Positive,@awrd but it is a good one 
52677,Positive,"@assos Eh, it's alright - nowhere near the same quality as a standard keyboard, but still useful! "
2515,Negative, I couldv'e taken a class from THE Ryan Feng... Sadness...Aw well! Ima learn from Mike Song and Tony Tran! Thassright people!
38286,Negative,@ameoktavia and @jarfullofstars sorry yaaaaa  job's calling 
73388,Positive,"@britttnicole yeahh, buhh thaa's not how they got close yanoee!! :O he left, probably stayed in like distant contact. but its cuz'a mandy "
19292,Negative,@_lightmare aww. Epic fail. 
89347,Negative,@babsalicious so sorry I missed you last night. Migraine 
29755,Negative,@al_ice Don't u find annoying? at 5:30PM!   Why not early in the morning!? A beautiful day to be outside! Calling sick! Just kidding 
24731,Positive,"@acinemastare LIFE!, why not?! blockbuster had movies 3 for $20!, i got a slurpee!, etc "
86529,Negative,@chandlergrace   that sucks!  Hope you all are doing well.
14851,Positive,"...now that I'm done arguing with SERVONTAY &quot;TAY BEAR&quot; MOORE (aka @TayGotTheJuice), I'm on the Golden Train. G'nite "
40786,Positive,"@amoir *huggle* Night babe, stay awesome! "
46043,Positive,@all_lies_about Ð° Ð½Ð°Ð´Ð¾! 
8776,Negative, work is slowly killing me.
60900,Negative,"@bethanygirlll I know, it makes me so sad. I hardly talked to you today "
43233,Negative,@anikainlondon yes! Thanks. I've just dropped my phone and the screen is smashed up 
48903,Positive,@Amanda____ im going to call you noww 
84911,Positive,"@atiysanlee yeahh true... n we can just enjoy all e way.. shopping, camwhoring, late night walk, breakfast tgt.. "
26214,Negative,@7_7 It's not currently available  Fresh would be so awesome.Trader Joe's has some dried cherries that taste  similar &amp; go well with brie.
28300,Positive,"@AbbyArtemisia You're spot on this morning!  Back yard herbals, Dandelion syrup, Rosewater!! That's like everything i wanted to do today "
39954,Negative,"@amandabynes Sorry to hear that, that is BAD NEWS! "
2478,Negative," just weighed self... still 59 kilos!! Damn you body, gain some fat!"
63925,Negative,"@BonesFan021 I will be, but later in the year, or early next year! My friend isn't in LA when i wanted to visit "
14485,Negative,"...Maybe my intensity scares off followers. Figures why I'm back down to 26. I'm sorry, everyone. I'm a bad, bad Archie. "
16545,Negative,@ home watching this basketball game ! MY HEAD IS POUNDING 
92183,Positive,@chriscuomo U GOT IT GOIN ON! i remember teachn my son to tie shoes-very rewarding how the little things in their life is so huge! 
93734,Negative,@CoolGuyGreg I am lost. Please help me find a good home. 
40168,Negative,@amandargh why you never on msn?? 
50375,Positive,@asdavis10 HA! I know u missed me buddy!!! *hugs* and I'm gonna change my pic just fir u!!! 
81187,Positive,"@charrison6089 you know, sometimes, you're simply disgusting "
28559,Negative,@abigail_x3 Aww  I'm watching Eagle vs Shark and trying to decide on what to have for lunch.
63114,Negative,"@BlondeByDesign Happy Monday, Sprite! How are you? How is your toe? I hope better "
21950,Negative,"@_Janet_ No worries, it didn't! Gutted though, it won't be the same "
30412,Positive,"@aDeSe nice  By that definition, I've failed CAT all the 3 times."
20572,Positive,@101ofawolf I think I might be because I've never been to a shef barcamp and I hear they do things weirdly there 
88988,Positive,@Azzore U R Welcome...I hope it is truly a 'grand' opening 
75641,Negative,@buckingham_20 can't login.. 
45118,Positive,"@annngo thank you, Miss Ngo! It's my favorite musical of all time. Fingers crossed! "
41858,Positive,@Andrew_Johnson: have a good night 
55268,Positive,@barker_g Awesome! That's like having two monitors! I could do this then: Monitor+MacBook+Laptop... 
64129,Positive,@boomx17 hey nothign have you checked out my website yet? 
42980,Negative,@angiegirlrivera tell me about it! Me to 
38543,Negative,@AmiSue  sorry your morning is so chaotic.
4705,Positive," So yea, i was running across the street while the light went green? &amp; my teacher told me she almost kilt me."
29389,Positive,@Akelaa Yes! I saw them on The Bard's Tale ('04). 
26346,Negative,"@8a22a Wow, the problem has been ongoing since TweetDeck's launch. "
86158,Positive,@Chad_DC If I told you chad VW SA would have to Kill you. KC 
87467,Positive,"@chuckdarw1n morning, you lovely musical man "
32322,Negative,@agdtinman the movie IS a letdown.... sadface 
25759,Positive,"@addiehartsyou Man, you're making me hungry. Korean BBQ is really delicious "
56425,Positive,@bananacrepes HELLO I JUST TESTED &quot;NUDGING&quot; someone because i was really curious as to what it means.  also i just private messaged you.
73172,Positive,@BrittGastineau When are WE going to vegas? 
89373,Negative,@CherubNKOTB Im sad i went to the show and didn't got the afterparty... was just too tired and hot 
93554,Positive,@BBC_Fangirl Our exam was on tv dramas and we had to write about how doctor who represents gender. 
485,Negative," am i losing my mind cause i wanna see my.TC on TV right now, this min? FU2 i want 2see CandyGirls!! not Daisy -dammit!! @iluvTerricka"
83481,Negative,@askfortrouble Happy Birthday! Bay Area's a bit of a drive for me tho 
29199,Positive,@achyna yeay! Okay 
72637,Negative,@cameronfrye That was a tough time in my life and I have no need/want to remember it 
6470,Positive,#FF we G talk over these parts haha  @CatherineG3 @Electric_Relax @IBAG_ @jASH_mjBs
46504,Negative,@apercheddove  Aww!  I won't say anything!! /giggle!
6610,Positive,#moviemisquotes Badgers!? We don't need no stinking badgers! - The Treasure of the Sierre Madre (shld be badges) 
74600,Negative,"@brunoamaral  thanks, but i'm unable to do something about it now, blocked"
79688,Positive,@arnoldDC71 yeeeaahh! Awesome!!!! 
61335,Positive,@BikeGames o0o0o what's your favorite site to look at online? 
73617,Negative,@Brocker80 I'm sorry for screaming. It seriously looked like a leemur haha. My bad  forgive me?
12353,Positive,&lt;3 James Corden @ my work place 
94684,Positive,@courtneycompton nononooooo. like the clothing store down here in FL.  It's cute. but very black girl. It's awesome. hahaha
58429,Positive,"@bebiv I didn't cry! I thought I'd be a complete mess, but I was grand. You got everything sorted? Tan, hair make-up all done? "
83432,Positive,@ChicksDigForex a bright and hopeful outlook   gets you through all things!
66044,Negative,@BrianMcnugget i miss you 
83223,Positive,@ashwinn welcome back 
89053,Negative,@Cheritree_Hime so sad you're not here.  how are you dear?
58215,Positive,@bejuska I am totally NORMAL!  (I think )
42302,Positive,@andyclemmensen sway sway baby is playing on nova!!! 
94467,Positive,@BeautyandBrkdwn thinking about a gris grimly scene @neilhimself uses him for his books sometimes. 
42772,Positive,@Angelo85 OK this one is funny LOOOL I liked it 
36814,Negative,@AlexxEnglish apparently i talked to someone and told them about a bike and i dont use the phone i'm to quiet  ESOTSM;
84620,Positive,@chris_dietrich i am honing my rage to get into the evil league of evil. Hi ho silver. 
24149,Negative,@20fourLabs i'm.not.going.to.make.it 
30900,Positive,@adrielove yes i saw him. omg it totally did haha! i know right? i thought it was funny. so what are you doin' missy? 
45893,Negative,@ApeHarvey Aww. Your mom does not hate you 
20150,Positive,@_J_A_M_E_S_ first no  we dont have and 2 that was 2 years ago think to late xD
2214,Positive, is bored but for some reason oddly happy
56602,Positive,@BeachNYC09 yeaaaah you do! 
18612,Negative,-/ Found my Fable II wife. She then divorced me and stole my evil undead daughter. 
80143,Positive,@chanellewang you are an inspiration  working soo hard!  I feel your passion.
29502,Negative,"@ActingisLove16 Can You Do Anything This Summer??? Is The Summer School On The Computer??? Also, When You Leaving Us!!??? :'(   "
99372,Negative,@creativesoul16 um i dont know if its now then no because my mom isnt home yet... 
81955,Negative,"@chef_at_home The climate here's not exactly great but I don't see anyone settling for a chef, or HAD TO settle for a chef  :"
18625,Positive,/me hands @tabatha_akers a snuggie 
67942,Negative,@BookbindingTeam I missed the meeting last night on accident   I got carried away in the studio and lost track of time.
2149,Positive, goodmorning tweeties..
27267,Negative,@afrobella I believe it means that the song is no longer available. 
91799,Positive,"@bananapancakees Yeah, I just got home. I shall stop annoying you! Starting.. now.  Oho, that's a deal ah. :&gt;"
84366,Positive,"  going to bed. Exams, then dinner with mom. Then hanging out with Andrew &lt;3"
91676,Positive,"@coldplay http://twitpic.com/5f798 - Haha, it's nice that you keep us up with everything you do!  Nice bed by the way, but you shouldn ..."
12515,Negative,&quot;and everything about you seemed to be a lie a guiltless twisted lie&quot; 
63032,Positive,@BlogWellDone A SM BBQ would indeed be fun. 
42733,Positive,"@anexemines hi, thanks for following, love your work, i hope to share some ideas with you over twitter -  Anthony"
6423,Positive,"#FF @Soniamonia , @ange_black , @darkerdays they are funny in a funny way "
92841,Negative,@ChrisScala I am lost. Please help me find a good home. 
41030,Positive,@andrewbarnett don't worry i'm in the same camp but me and elle fitzgerald's line right now possibly not the right thing  6 mths time ok!
54140,Negative,@austincarlile i fucking wish i was going to your show.  i almost cried because i can't.
35045,Negative,"@akinev wish you were here  screw L.A., come here instead!"
3917,Negative, life goes on right? G'night.
23839,Positive,"@aberry1654 listen ... participate ... start conversations ... or, in true Bez style, tell everyone to fuck off "
55875,Positive,@BabySpadez yea that movie is good 
87053,Positive,@autologicality too bad i wasn't there to hold it together while you played. i love replacing parts of your drumsets during shows. 
59497,Positive,@Belflower122 
22389,Negative,@_Miss_Mia_  just reminded me I forgot to remove my LM air freshener &amp; taxdisc holder when I sold my passat! Argh!!!!
21767,Negative,@305cutie sorry for being random  lol
57200,Negative,"@BeccaxVipx iï¿½ve seen the glimpse a little while ago, just 15 seconds, i wanna see more!!! iï¿½m going nuts! takes soo long until november "
16123,Negative,:O Isac is having his haircut!  it was nice the way it is!
76049,Positive,@AnthonyTurtzo RYANNN. one of mai bee eff effs. donchaknow  &lt;3
89738,Positive,@CheyenneSchultz That's super sweet of him!  I hope your day gets better girl!
70936,Negative,@brentcataldo cos they broke up 
36172,Positive,@AlexandraHoover I met a cute boy... obviously I must party with him tonight 
4825,Negative," the Apple repair guy can't come to fix my IMac until they get the parts. SO, a few more days without Chiaki  (yes my comp has a name!)"
13279,Negative,...  I didn't get the job...
90087,Negative,@babygirlparis http://twitpic.com/7m7wr - im so jealose!!! i so want to meet u 
66117,Negative,"@brianovi I don't like the kanji for modesty.  Also, I want to go to Cheeburger with you. "
28245,Negative,@aimeelynnc you are making me jealous 
75611,Negative,@buckhollywood I miss the main room!  Was in there for 4 hours then got &quot;disconnected from chat&quot; Made me super super sad 
19733,Positive,@_phoebee thank youuuu 
31340,Positive,@adnedeve  I never delete my fb messages I'll forward it to you .. check your fb 
23507,Positive,@130587 thanks love! 
31823,Positive,@AelitaSugarland hey sup? 
47698,Positive,@aricsqueen i definitely wish i could be out there! oooh a book? it's like christmas in june 
62858,Positive,@BillBoorman Well done on reaching 500! Very impressive in such a short time 
46226,Negative,@alliehochstein I have a VCR but only 17 analog channels...that's good for shows on the major networks but not the ones off them! 
46741,Positive,"@aplusk kinda reminds you of that movie the woman with the dolls, what is that movie? a little help plz... "
92696,Negative,@chrisMibacache yeh ive got an assignment to do. lol i didnt sleep till 1 or 2am  yep tomorrows gonna be boring as. whatchu doing tonight?
16203,Negative,"; i feel awkward talking to a senior, because i just realised i don't really have much questions to ask about notts after all "
18563,Positive,@_iStone_ I thankfully have FireWire thanks to the little word that says 'Pro' next to Macbook! Hehe... 
72112,Negative,@CaliSzFinest you didnt hit me up today 
5820,Positive,"#Beijing I know exactly,! how to do you it good!  - w4m (beijing) 21yr: I propose VIP escort, Strip-sh.. http://tinyurl.com/nqfko6"
