Sentiment,CleanedText
Negative,"['sorry', 'miss', 'last', 'night', 'migraine']"
Negative,"['dont', 'u', 'find', 'annoy', 'pm', 'early', 'morning', 'beautiful', 'day', 'outside', 'call', 'sick', 'kid']"
Positive,"['life', 'blockbuster', 'movie', 'get', 'slurpee', 'etc']"
Negative,"['suck', 'hope', 'well']"
Positive,"['im', 'do', 'argue', 'servontay', 'quottay', 'bearquot', 'moore', 'aka', 'im', 'golden', 'train', 'gnite']"
Positive,"['huggle', 'night', 'babe', 'stay', 'awesome']"
Positive,[]
Negative,"['work', 'slowly', 'kill']"
Negative,"['know', 'make', 'sad', 'hardly', 'talk', 'today']"
Negative,"['yes', 'thanks', 'ive', 'drop', 'phone', 'screen', 'smash']"
Positive,"['im', 'go', 'call', 'noww']"
Positive,"['yeahh', 'true', 'n', 'enjoy', 'e', 'way', 'shopping', 'camwhoring', 'late', 'night', 'walk', 'breakfast', 'tgt']"
Negative,"['currently', 'available', 'fresh', 'would', 'awesometrader', 'joes', 'dry', 'cherry', 'taste', 'similar', 'amp', 'go', 'well', 'brie']"
Positive,"['youre', 'spot', 'morning', 'back', 'yard', 'herbal', 'dandelion', 'syrup', 'rosewater', 'thats', 'like', 'everything', 'want', 'today']"
Negative,"['sorry', 'hear', 'bad', 'news']"
Negative,"['weigh', 'self', 'still', 'kilo', 'damn', 'body', 'gain', 'fat']"
Negative,"['later', 'year', 'early', 'next', 'year', 'friend', 'isnt', 'la', 'want', 'visit']"
Negative,"['maybe', 'intensity', 'scare', 'follower', 'figure', 'im', 'back', 'im', 'sorry', 'everyone', 'im', 'bad', 'bad', 'archie']"
Negative,"['home', 'watch', 'basketball', 'game', 'head', 'pound']"
Positive,"['u', 'get', 'goin', 'remember', 'teachn', 'son', 'tie', 'shoesvery', 'reward', 'little', 'thing', 'life', 'huge']"
Negative,"['lose', 'please', 'help', 'find', 'good', 'home']"
Negative,"['never', 'msn']"
Positive,"['ha', 'know', 'u', 'miss', 'buddy', 'hug', 'im', 'gonna', 'change', 'pic', 'fir', 'u']"
Positive,"['know', 'sometimes', 'youre', 'simply', 'disgust']"
Negative,"['aww', 'im', 'watch', 'eagle', 'v', 'shark', 'try', 'decide', 'lunch']"
Negative,"['happy', 'monday', 'sprite', 'toe', 'hope', 'well']"
Negative,"['worry', 'didnt', 'gutted', 'though', 'wont']"
Positive,"['nice', 'definition', 'ive', 'fail', 'cat', 'time']"
Positive,"['think', 'might', 'ive', 'never', 'shef', 'barcamp', 'hear', 'thing', 'weirdly']"
Positive,"['u', 'r', 'welcomei', 'hope', 'truly', 'grand', 'opening']"
Negative,"['cant', 'login']"
Positive,"['thank', 'miss', 'ngo', 'favorite', 'musical', 'time', 'finger', 'cross']"
Positive,"['good', 'night']"
Positive,"['awesome', 'thats', 'like', 'two', 'monitor', 'could', 'monitormacbooklaptop']"
Positive,"['hey', 'nothign', 'checked', 'website', 'yet']"
Negative,['tell']
Negative,"['sorry', 'morning', 'chaotic']"
Positive,"['yea', 'run', 'across', 'street', 'light', 'go', 'green', 'amp', 'teacher', 'told', 'almost', 'kilt']"
Positive,"['yes', 'saw', 'bard', 'tale']"
Negative,"['wow', 'problem', 'ongoing', 'since', 'tweetdecks', 'launch']"
Positive,"['told', 'chad', 'vw', 'sa', 'would', 'kill', 'kc']"
Positive,"['morning', 'lovely', 'musical', 'man']"
Negative,"['movie', 'letdown', 'sadface']"
Positive,"['man', 'youre', 'make', 'hungry', 'korean', 'bbq', 'really', 'delicious']"
Positive,"['hello', 'test', 'quotnudgingquot', 'someone', 'really', 'curious', 'mean', 'also', 'private', 'message']"
Positive,"['go', 'vega']"
Negative,"['im', 'sad', 'go', 'show', 'didnt', 'get', 'afterparty', 'tire', 'hot']"
Positive,"['exam', 'tv', 'drama', 'write', 'doctor', 'represent', 'gender']"
Negative,"['lose', 'mind', 'cause', 'wanna', 'see', 'mytc', 'tv', 'right', 'min', 'fu', 'want', 'see', 'candygirls', 'daisy', 'dammit']"
Negative,"['happy', 'birthday', 'bay', 'area', 'bit', 'drive', 'tho']"
Positive,"['yeay', 'okay']"
Negative,"['tough', 'time', 'life', 'needwant', 'remember']"
Positive,"['g', 'talk', 'part', 'haha']"
Negative,"['aww', 'wont', 'say', 'anything', 'giggle']"
Positive,"['badger', 'dont', 'need', 'stink', 'badger', 'treasure', 'sierre', 'madre', 'shld', 'badge']"
Negative,"['thanks', 'im', 'unable', 'something', 'block']"
Positive,"['yeeeaahh', 'awesome']"
Positive,"['ooo', 'whats', 'favorite', 'site', 'look', 'online']"
Negative,"['im', 'sorry', 'scream', 'seriously', 'look', 'like', 'leemur', 'haha', 'bad', 'forgive']"
Positive,"['lt', 'james', 'corden', 'work', 'place']"
Positive,"['nononooooo', 'like', 'clothing', 'store', 'fl', 'cute', 'black', 'girl', 'awesome', 'hahaha']"
Positive,"['didnt', 'cry', 'thought', 'id', 'complete', 'mess', 'grand', 'get', 'everything', 'sort', 'tan', 'hair', 'makeup', 'do']"
Positive,"['bright', 'hopeful', 'outlook', 'get', 'thing']"
Negative,['miss']
Positive,"['welcome', 'back']"
Negative,"['sad', 'youre', 'dear']"
Positive,"['totally', 'normal', 'think']"
Positive,"['sway', 'sway', 'baby', 'play', 'nova']"
Positive,"['think', 'gris', 'grimly', 'scene', 'us', 'book', 'sometimes']"
Positive,"['ok', 'one', 'funny', 'loool', 'like']"
Negative,"['apparently', 'talk', 'someone', 'told', 'bike', 'dont', 'use', 'phone', 'im', 'quiet', 'esotsm']"
Positive,"['hone', 'rage', 'get', 'evil', 'league', 'evil', 'hi', 'ho', 'silver']"
Negative,['imnotgoingtomakeit']
Positive,"['yes', 'saw', 'omg', 'totally', 'haha', 'know', 'right', 'thought', 'funny', 'doin', 'missy']"
Negative,"['aww', 'mom', 'hate']"
Positive,"['first', 'dont', 'year', 'ago', 'think', 'late', 'xd']"
Positive,"['bore', 'reason', 'oddly', 'happy']"
Positive,['yeaaaah']
Negative,"['found', 'fable', 'ii', 'wife', 'divorce', 'stole', 'evil', 'undead', 'daughter']"
Positive,"['inspiration', 'work', 'soo', 'hard', 'feel', 'passion']"
Negative,"['anything', 'summer', 'summer', 'school', 'computer', 'also', 'leave', 'u']"
Negative,"['um', 'dont', 'know', 'mom', 'isnt', 'home', 'yet']"
Negative,"['climate', 'here', 'exactly', 'great', 'dont', 'see', 'anyone', 'settle', 'chef', 'settle', 'chef']"
Positive,"['hand', 'snuggie']"
Negative,"['miss', 'meeting', 'last', 'night', 'accident', 'get', 'carry', 'away', 'studio', 'lose', 'track', 'time']"
Positive,"['goodmorning', 'tweeties']"
Negative,"['believe', 'mean', 'song', 'longer', 'available']"
Positive,"['yeah', 'get', 'home', 'shall', 'stop', 'annoy', 'start', 'oho', 'thats', 'deal', 'ah', 'gt']"
Positive,"['go', 'bed', 'exam', 'dinner', 'mom', 'hang', 'andrew', 'lt']"
Positive,"['haha', 'nice', 'keep', 'u', 'everything', 'nice', 'bed', 'way']"
Negative,"['quotand', 'everything', 'seem', 'lie', 'guiltless', 'twist', 'liequot']"
Positive,"['sm', 'bbq', 'would', 'indeed', 'fun']"
Positive,"['hi', 'thanks', 'follow', 'love', 'work', 'hope', 'share', 'idea', 'twitter', 'anthony']"
Positive,"['funny', 'funny', 'way']"
Negative,"['lose', 'please', 'help', 'find', 'good', 'home']"
Positive,"['dont', 'worry', 'im', 'camp', 'elle', 'fitzgerald', 'line', 'right', 'possibly', 'right', 'thing', 'mths', 'time', 'ok']"
Negative,"['fuck', 'wish', 'go', 'show', 'almost', 'cry', 'cant']"
Negative,"['wish', 'screw', 'la', 'come', 'instead']"
Negative,"['life', 'go', 'right', 'gnight']"
Positive,"['listen', 'participate', 'start', 'conversation', 'true', 'bez', 'style', 'tell', 'everyone', 'fuck']"
Positive,"['yea', 'movie', 'good']"
Positive,"['bad', 'wasnt', 'hold', 'together', 'played', 'love', 'replace', 'part', 'drumsets', 'show']"
Positive,[]
Negative,"['remind', 'forgot', 'remove', 'lm', 'air', 'freshener', 'amp', 'taxdisc', 'holder', 'sell', 'passat', 'argh']"
Negative,"['sorry', 'random', 'lol']"
Negative,"['ive', 'see', 'glimpse', 'little', 'ago', 'second', 'wanna', 'see', 'im', 'go', 'nut', 'take', 'soo', 'long', 'november']"
Negative,"['isac', 'haircut', 'nice', 'way']"
Positive,"['ryannn', 'one', 'mai', 'bee', 'eff', 'effs', 'donchaknow', 'lt']"
Positive,"['thats', 'super', 'sweet', 'hope', 'day', 'get', 'well', 'girl']"
Negative,"['co', 'broke']"
Positive,"['met', 'cute', 'boy', 'obviously', 'must', 'party', 'tonight']"
Negative,"['apple', 'repair', 'guy', 'cant', 'come', 'fix', 'imac', 'get', 'part', 'day', 'without', 'chiaki', 'yes', 'comp', 'name']"
Negative,"['didnt', 'get', 'job']"
Negative,"['im', 'jealose', 'want', 'meet', 'u']"
Negative,"['dont', 'like', 'kanji', 'modesty', 'also', 'want', 'go', 'cheeburger']"
Negative,"['make', 'jealous']"
Negative,"['miss', 'main', 'room', 'hour', 'get', 'quotisconnected', 'chatquot', 'make', 'super', 'super', 'sad']"
Positive,"['thank', 'youuuu']"
Positive,"['never', 'delete', 'fb', 'message', 'ill', 'forward', 'check', 'fb']"
Positive,"['thanks', 'love']"
Positive,"['hey', 'sup']"
Positive,"['definitely', 'wish', 'could', 'oooh', 'book', 'like', 'christmas', 'june']"
Positive,"['well', 'do', 'reach', 'impressive', 'short', 'time']"
Negative,"['vcr', 'analog', 'channelsthats', 'good', 'show', 'major', 'network', 'one']"
Positive,"['kinda', 'reminds', 'movie', 'woman', 'doll', 'movie', 'little', 'help', 'plz']"
Negative,"['yeh', 'ive', 'get', 'assignment', 'lol', 'didnt', 'sleep', 'till', 'yep', 'tomorrow', 'gonna', 'boring', 'whatchu', 'tonight']"
Negative,"['feel', 'awkward', 'talk', 'senior', 'realise', 'dont', 'really', 'much', 'question', 'ask', 'notts']"
Positive,"['thankfully', 'firewire', 'thanks', 'little', 'word', 'say', 'pro', 'next', 'macbook', 'hehe']"
Negative,"['didnt', 'hit', 'today']"
Positive,"['know', 'exactly', 'good', 'wm', 'beijing', 'yr', 'propose', 'vip', 'escort', 'stripsh']"
Positive,"['happy', 'today', 'dont']"
